iter	Passed	Remaining
406	5367	7821
407	5379	7806
408	5392	7791
409	5404	7777
410	5415	7761
411	5427	7746
412	5439	7731
413	5452	7717
414	5463	7701
415	5475	7686
416	5487	7671
417	5499	7657
418	5511	7642
419	5523	7627
420	5535	7613
421	5548	7598
422	5559	7583
423	5573	7571
424	5585	7557
425	5597	7542
426	5609	7527
427	5620	7512
428	5632	7497
429	5644	7482
430	5656	7467
431	5668	7453
432	5681	7439
433	5692	7424
434	5705	7410
435	5717	7395
436	5729	7380
437	5741	7366
438	5755	7355
439	5768	7341
440	5780	7327
441	5792	7312
442	5805	7299
443	5818	7286
444	5831	7272
445	5844	7259
446	5856	7244
447	5870	7232
448	5883	7220
449	5895	7205
450	5908	7192
451	5920	7178
452	5933	7164
453	5945	7149
454	5956	7134
455	5968	7120
456	5981	7106
457	5994	7094
458	6006	7079
459	6018	7065
460	6031	7051
461	6043	7037
462	6055	7023
463	6067	7008
464	6080	6996
465	6093	6982
466	6105	6968
467	6117	6953
468	6129	6939
469	6142	6926
470	6154	6912
471	6165	6897
472	6178	6883
473	6191	6870
474	6203	6856
475	6215	6842
476	6227	6828
477	6240	6814
478	6251	6800
479	6265	6787
480	6277	6773
481	6289	6759
482	6301	6745
483	6314	6731
484	6327	6718
485	6339	6704
486	6352	6691
487	6363	6676
488	6376	6662
489	6389	6650
490	6400	6635
491	6412	6621
492	6424	6607
493	6437	6593
494	6449	6579
495	6461	6565
496	6473	6551
497	6485	6537
498	6497	6523
499	6510	6510
500	6523	6497
501	6536	6483
502	6547	6469
503	6561	6457
504	6574	6444
505	6588	6431
506	6602	6419
507	6614	6405
508	6627	6393
509	6640	6380
510	6654	6368
511	6668	6355
512	6682	6343
513	6696	6331
514	6709	6318
515	6722	6305
516	6735	6292
517	6749	6280
518	6764	6269
519	6778	6256
520	6792	6244
521	6805	6231
522	6818	6219
523	6833	6207
524	6846	6194
525	6859	6181
526	6873	6168
527	6887	6157
528	6902	6145
529	6916	6133
530	6929	6120
531	6942	6107
532	6956	6094
533	6968	6081
534	6981	6068
535	6995	6055
536	7009	6043
537	7022	6030
538	7035	6017
539	7049	6004
540	7062	5992
541	7075	5979
542	7089	5966
543	7103	5954
544	7116	5940
545	7131	5930
546	7147	5919
547	7165	5910
548	7182	5900
549	7196	5887
550	7209	5874
551	7223	5862
552	7236	5849
553	7249	5836
554	7263	5823
555	7276	5810
556	7289	5797
557	7302	5784
558	7315	5771
559	7328	5758
560	7342	5745
561	7354	5732
562	7366	5717
563	7378	5704
564	7390	5690
565	7402	5676
566	7414	5662
567	7426	5648
568	7438	5634
569	7449	5620
570	7461	5606
571	7473	5592
572	7485	5578
573	7497	5564
574	7508	5549
575	7520	5535
576	7532	5521
577	7543	5507
578	7555	5493
579	7567	5480
580	7582	5468
581	7595	5455
582	7607	5441
583	7621	5429
584	7633	5415
585	7644	5400
586	7656	5386
587	7670	5374
588	7682	5360
589	7694	5346
590	7706	5332
591	7718	5319
592	7731	5306
593	7742	5292
594	7754	5277
595	7765	5263
596	7778	5250
597	7791	5237
598	7805	5225
599	7817	5211
600	7831	5199
601	7845	5186
602	7858	5173
603	7871	5160
604	7883	5147
605	7896	5134
606	7908	5120
607	7920	5106
608	7932	5092
609	7944	5079
610	7955	5064
611	7967	5051
612	7979	5037
613	7991	5023
614	8002	5009
615	8014	4996
616	8026	4982
617	8037	4968
618	8048	4954
619	8060	4940
620	8071	4926
621	8084	4912
622	8095	4898
623	8110	4886
624	8129	4877
625	8149	4869
626	8163	4856
627	8177	4843
628	8191	4831
629	8204	4818
630	8217	4805
631	8230	4792
632	8243	4779
633	8257	4767
634	8270	4754
635	8284	4741
636	8298	4728
637	8312	4716
638	8325	4703
639	8337	4690
