iter	Logloss
0	0.6776231977
1	0.6619136622
2	0.6478802071
3	0.6345442456
4	0.6216884327
5	0.6088187681
6	0.5976042796
7	0.5873506595
8	0.5769174112
9	0.5669759098
10	0.5591735409
11	0.5508848819
12	0.5431228164
13	0.5352402539
14	0.5280945053
15	0.521336383
16	0.5154709638
17	0.5097923101
18	0.5054697003
19	0.5002212069
20	0.4956259754
21	0.4915176035
22	0.4877689017
23	0.4837684174
24	0.4793028205
25	0.4752662126
26	0.4723628292
27	0.4692030606
28	0.4656345218
29	0.4630625384
30	0.4599823195
31	0.4566898298
32	0.4543149349
33	0.4508750892
34	0.448708293
35	0.4467332825
36	0.4438492449
37	0.4420146234
38	0.4395127035
39	0.4370155671
40	0.4351539424
41	0.4332806295
42	0.4313011406
43	0.4288595389
44	0.4266342482
45	0.4247942662
46	0.4231081798
47	0.4212252945
48	0.4198396363
49	0.4182760254
50	0.416430852
51	0.4149285252
52	0.4131431972
53	0.4115139374
54	0.4102645969
55	0.4087902811
56	0.4074524242
57	0.4063351946
58	0.4052341896
59	0.4042149488
60	0.4032852984
61	0.4020393127
62	0.4007184383
63	0.3995793723
64	0.3985922853
65	0.3978124205
66	0.3969177283
67	0.3958798662
68	0.3950367622
69	0.3941373237
70	0.3931403956
71	0.3921543643
72	0.3909550356
73	0.3897533095
74	0.3886955302
75	0.3873795704
76	0.3864898122
77	0.3856649092
78	0.3846098495
79	0.3837288716
80	0.3830583105
81	0.3822806578
82	0.3816426109
83	0.3808180627
84	0.3801338003
85	0.3791309698
86	0.3787057636
87	0.3773709519
88	0.3767601182
89	0.375859537
90	0.3753098332
91	0.3747031934
92	0.3736681803
93	0.3732175172
94	0.3726980157
95	0.3721489055
96	0.3716512293
97	0.3709143305
98	0.3703186496
99	0.3699435709
100	0.3693557953
101	0.3684395048
102	0.3681021713
103	0.3674914158
104	0.3666487279
105	0.3657497902
106	0.3653255048
107	0.3645216779
108	0.3639274359
109	0.363586693
110	0.3632435673
111	0.3628453715
112	0.3624834781
113	0.3619164542
114	0.361341671
115	0.3608766493
116	0.3604714422
117	0.3598995498
118	0.3595213553
119	0.3589628963
120	0.3583548848
121	0.3579844544
122	0.3574820345
123	0.3569681348
124	0.3564511932
125	0.3558883471
126	0.3554428332
127	0.3550398798
128	0.3544069935
129	0.3540279
130	0.3535870401
131	0.3528510974
132	0.3521654669
133	0.35176985
134	0.3513838407
135	0.3508992078
136	0.3505091701
137	0.3502785876
138	0.3496250916
139	0.3490979257
140	0.3487987817
141	0.3480296729
142	0.3476066519
143	0.3473553078
144	0.3471341299
145	0.3468280093
146	0.3461825606
147	0.3459394606
148	0.3455768019
149	0.3448874075
150	0.3445623004
151	0.3442981333
152	0.3437730797
153	0.3434876378
154	0.343292936
155	0.3430377797
156	0.3425696043
157	0.342157449
158	0.3416733422
159	0.3413425875
160	0.3410966106
161	0.3406041594
162	0.3403949118
163	0.3401026916
164	0.3397692378
165	0.3395980146
166	0.3393455695
167	0.3390321029
168	0.3387426964
169	0.3386083898
170	0.338236167
171	0.3375304292
172	0.3371951754
173	0.3368432837
174	0.3366926852
175	0.3362958112
176	0.3361522606
177	0.3358909119
178	0.335692292
179	0.3354696236
180	0.335092548
181	0.3346870996
182	0.3342344105
183	0.3338788803
184	0.3334027879
185	0.3331038483
186	0.3325457096
187	0.3322103089
188	0.3317751279
189	0.3314178
190	0.3311012156
191	0.3307243997
192	0.3302185087
193	0.3300619499
194	0.3298641555
195	0.3295157393
196	0.3293234669
197	0.3289865118
198	0.3287374287
199	0.3284550161
200	0.3280854609
201	0.3277249591
202	0.3274362605
203	0.3271851398
204	0.3268567656
205	0.3265841722
206	0.326319061
207	0.3261251085
208	0.3256834474
209	0.3252671877
210	0.3250760264
211	0.3249339941
212	0.3246664653
213	0.3244440172
214	0.3242759501
215	0.3240123631
216	0.3239220347
217	0.3236507145
218	0.3234015734
219	0.323205089
220	0.3230569029
221	0.3228037269
222	0.3226670394
223	0.3223591359
224	0.3220013096
225	0.3213413338
226	0.3210743727
227	0.3208281067
228	0.3205688201
229	0.3201642883
230	0.3198527727
231	0.319461342
232	0.3193426393
233	0.3191168189
234	0.3189087726
235	0.3187491425
236	0.3183926699
237	0.3180964546
238	0.3178773972
239	0.3176845132
240	0.3175902052
241	0.3172868977
242	0.3171747267
243	0.3169620427
244	0.3167777709
245	0.3165922564
246	0.3163752242
247	0.3162495722
248	0.3160314113
249	0.3157968635
250	0.3154736501
251	0.3153248631
252	0.315104255
253	0.3149019249
254	0.314630528
255	0.3144554625
256	0.3143379013
257	0.3140299893
258	0.3137960529
259	0.3134415367
260	0.3132642223
261	0.3129935026
262	0.312814902
263	0.3126507264
264	0.3124590452
265	0.3123012977
266	0.3120850859
267	0.3118623291
268	0.3116468422
269	0.3114706218
270	0.3111331846
271	0.3109179858
272	0.3106243111
273	0.3102782632
274	0.3101393277
275	0.3099842797
276	0.3098749533
277	0.3096521016
278	0.3094346311
279	0.3092369484
280	0.3091450266
281	0.3090439462
282	0.3088768469
283	0.3086878785
284	0.3084208352
285	0.3082926952
286	0.3081617457
287	0.3080044263
288	0.3078320495
289	0.3076372935
290	0.3074582368
291	0.3072894833
292	0.3070209592
293	0.3068858275
294	0.3067608753
295	0.3064344165
296	0.3061876377
297	0.3059060391
298	0.3057991578
299	0.3056841592
300	0.3054493562
301	0.3052789026
302	0.3051096841
303	0.3047965781
304	0.3045041295
305	0.3042531923
